多袋摸球概率计算结果汇总
==================================================

总状态数: 33
总概率: 1.0000000000

手上球的最终分布:
--------------------------------------------------
3B+1W+2Y            : 0.1368551587 (13.685516%)
2B+1W+3Y            : 0.1198288690 (11.982887%)
2B+2W+2Y            : 0.1110739087 (11.107391%)
2B+1P+1W+2Y         : 0.0912202381 (9.122024%)
3B+2W+1Y            : 0.0797619048 (7.976190%)
1B+1P+1W+3Y         : 0.0531250000 (5.312500%)
2B+1P+2W+1Y         : 0.0488095238 (4.880952%)
1B+2W+3Y            : 0.0451884921 (4.518849%)
1B+1P+2W+2Y         : 0.0414062500 (4.140625%)
2B+3W+1Y            : 0.0327380952 (3.273810%)
3B+1P+1W+1Y         : 0.0284722222 (2.847222%)
4B+1W+1Y            : 0.0284722222 (2.847222%)
3B+3Y               : 0.0248015873 (2.480159%)
1B+1W+4Y            : 0.0219122024 (2.191220%)
2B+1P+3Y            : 0.0184523810 (1.845238%)
2B+4Y               : 0.0154017857 (1.540179%)
3B+3W               : 0.0141369048 (1.413690%)
1B+3W+2Y            : 0.0127314815 (1.273148%)
1B+1P+3W+1Y         : 0.0117394180 (1.173942%)
2B+1P+3W            : 0.0112433862 (1.124339%)
3B+1P+2Y            : 0.0097222222 (0.972222%)
4B+2Y               : 0.0097222222 (0.972222%)
1B+1P+4Y            : 0.0081969246 (0.819692%)
3B+1P+2W            : 0.0062500000 (0.625000%)
4B+2W               : 0.0062500000 (0.625000%)
1P+2W+3Y            : 0.0046502976 (0.465030%)
1P+1W+4Y            : 0.0030753968 (0.307540%)
2W+4Y               : 0.0016369048 (0.163690%)
1B+5Y               : 0.0013764881 (0.137649%)
3W+3Y               : 0.0007440476 (0.074405%)
1W+5Y               : 0.0003968254 (0.039683%)
1P+3W+2Y            : 0.0003720238 (0.037202%)
1P+5Y               : 0.0002356151 (0.023562%)

==================================================
总共的不同结果: 33种手上球的组合
